text;name;labels
Ivysaur's appearance is very similar to that of its pre-evolved form, Bulbasaur;Ivysaur;1
It still retains the turquoise skin and spots, along with its red eyes;Ivysaur;1
Ivysaur's top fangs are now larger and are visible outside of its mouth;Ivysaur;1
Also, its ears are now darkened to black in the center;Ivysaur;1
Carrying the weight of the bud on its back makes Ivysaur's legs stronger;Ivysaur;1
The most notable change is that the bulb is starting to bloom, with pink petals visible, and large leaves on the bloom bottom;Ivysaur;1
Ivysaur are able to naturally learn the powerful Grass-type attack Solar Beam, a move whose execution time depends largely upon the weather it takes an excruciatingly long amount of time to perform this attack in hail, rain, or a sandstorm, but nearly no time at all in bright sunlight;Ivysaur;1
Luckily, the latter is ​most common in the habitats of these Pokémon, as it is vital that the bulbs on their backs receive ample sunlight so that they can photosynthesize and develop;Ivysaur;1
As the bulbs grow larger and these Ivysaur become more powerful, they must spend increasing amounts of time in the sun in order to foster their growth;Ivysaur;1
When Ivysaur are preparing to evolve into Venusaur, they will spend more time sunbathing and their bulbs will begin emanating a sweet, pleasant aroma;Ivysaur;1
Its blossom on its back grows larger in the sunlight;Ivysaur;1
As the blossom grows, Ivysaur loses the ability to stand on its hind legs;Ivysaur;1
The blossom produces a pleasant smell when it is ready to bloom, it means Ivysaur is ready to evolve into Venusaur;Ivysaur;1
Ivysaur is a quadrupedal amphibian Pokémon that has blue-green skin with darker patches;Ivysaur;1
On top of its head are pointed ears with black insides and it has narrow red eyes;Ivysaur;1
Ivysaur has a short, rounded snout with a wide mouth and two pointed teeth in its upper jaw;Ivysaur;1
Each of its feet has three claws on them;Ivysaur;1
The bulb on its back has bloomed into a large pink bud;Ivysaur;1
A short brown trunk surrounded by leafy green fronds supports the bud;Ivysaur;1
The weight of the plant prevents Ivysaur from running fast and standing on its hind legs, forcing its legs to grow sturdy;Ivysaur;1
When its flower is ready to bloom, it gives off a distinct, sweet-smelling aroma and starts swelling;Ivysaur;1
Ivysaur will also start spending more time in sunlight in preparation for its upcoming evolution;Ivysaur;1
Exposure to sunlight adds to the strength of both Ivysaur and its plant;Ivysaur;1
Ivysaur are typically found in plains;Ivysaur;1
Venusaur is a large, amphibian-like Pokémon that is somewhat similar in appearance to its pre-evolved forms, Ivysaur and Bulbasaur;Venusaur;2
Its skin still retains a light turquoise color, but it no longer has the spots, and it appears more rough and scaly, with bumps here and there;Venusaur;2
The former bulb on its back has now fully bloomed into a gigantic flower and its ears have lightened up as well;Venusaur;2
Female Venusaur are slightly different because they have a seed on their back, which shows that it can give birth to a new Bulbasaur;Venusaur;2
Female Venusaur have bulbs sticking out of the tops of their flowers;Venusaur;2
Venusaur absorbs sunlight to gain energy and to feed its flower, located on its back;Venusaur;2
After gaining a certain amount of sunlight, the flower will release a sweet aroma said to soothe the emotions of people;Venusaur;2
Additionally, after a rainy day, the smell of the flower's aroma grows stronger, attracting other Pokémon;Venusaur;2
The power of Gigantamaxing has made Venusaur's flower bloom so large that it covers the Pokémon's body;Venusaur;2
The flower's petals are extremely thick and springy enough to repel halfhearted attacks;Venusaur;2
During battle, the Pokémon uses these petals as a shield and swings its two thick vines around to attack its target;Venusaur;2
The flower on the Pokémon's back spews so much pollen that it resembles a volcanic eruption;Venusaur;2
Inhaling the pollen can cause uncontrollable sneezing, and breathing in too much of it can even cause fainting;Venusaur;2
However, the pollen also stimulates plant growth;Venusaur;2
Places where the pollen falls are said to grow thick with large plants;Venusaur;2
Venusaur are powerful but relatively nonviolent Pokémon;Venusaur;2
Despite their menacing appearances, Venusaur are docile Pokémon, preferring to sunbathe so that the plants on their backs can photosynthesize rather than fight;Venusaur;2
They follow sunny patches that reach the forest floor as the sun moves across the sky;Venusaur;2
With enough solar energy, the flowers on their backs can release a fragrance that calms both hostile Pokémon and people alike;Venusaur;2
The scent also attracts a number of Bug-type Pokémon to the flowers as well to aid in their pollination during the breeding season;Venusaur;2
This ability allows Venusaur to serve as peacekeepers of sorts in their native forests, not only stopping fights that break out in their territories, but also defending their domains from dangers with their might if necessary;Venusaur;2
Female Venusaur have seeds in their flowers, which they plant into the backs of their offspring to grow into new plants;Venusaur;2
Their gentle dispositions but great power are what make them one of the most well-rounded Pokémon any Kantonian trainer could start their Pokémon journeys with;Venusaur;2
Venusaur evolves from Ivysaur at level 32;Venusaur;2
It can mega evolve into Mega Venusaur using the Venusaurite;Venusaur;2
Venusaur is a squat, quadrupedal amphibian Pokémon with bumpy, blue-green skin;Venusaur;2
It has small, circular red eyes and a short, blunt snout;Venusaur;2
Its mouth is wide with two pointed teeth in the upper jaw and four in the lower jaw;Venusaur;2
On top of its head are small, pointed ears with reddish pink insides;Venusaur;2
It has three clawed toes on each foot;Venusaur;2
The bud on its back has bloomed into a large pink, white-spotted flower;Venusaur;2
The flower is supported by a thick, brown trunk surrounded by green fronds;Venusaur;2
A female Venusaur has a seed in the center of its flower;Venusaur;2
Venusaur uses its flower to catch the sun's rays to convert them into energy, which causes the flower to become more vibrant;Venusaur;2
The flower releases a soothing scent that attracts Pokémon and calms emotions;Venusaur;2
This scent becomes stronger after a rainy day;Venusaur;2
In the anime, Venusaur has demonstrated the ability to manipulate nature, release several vines from its back, and lead evolution ceremonies for Bulbasaur and Ivysaur;Venusaur;2
This Pokémon is rarely found in the wild, but it has been known to inhabit grasslands;Venusaur;2
As Mega Venusaur, the flower on its back grows larger and two smaller pink flowers bloom, one on its forehead and one on its rear;Venusaur;2
Its legs and back have become sturdier to support the extra weight of the flower;Venusaur;2
Additional leaves with woody stems, which are supported by vines, are also grown around the flower;Venusaur;2
Mega Venusaur also develops dark markings on its forehead below the new flower on its forehead;Venusaur;2
As Gigantamax Venusaur, it becomes larger with its flower blooming even further, to the point of covering its body;Venusaur;2
These flowers have a taller bud, along with extremely thick and springy petals that are capable of shielding Gigantamax Venusaur;Venusaur;2
Its eyes have light green sclerae and orange irises;Venusaur;2
More foliage grows from under its flower, and the trunk that supports said flower becomes shorter;Venusaur;2
It has several light green markings located at its belly;Venusaur;2
Gigantamax Venusaur attacks with its thick vines, which are powerful enough to topple down a 10-story building;Venusaur;2
Gigantamax Venusaur's flower can spread enough pollen in a similar fashion to a volcanic eruption;Venusaur;2
Breathing in this pollen can cause uncontrollable sneezing, and inhaling large amounts can even cause fainting;Venusaur;2
However, this pollen also promotes plant growth in areas where it lands;Venusaur;2
Gigantamax Venusaur is the only known Pokémon capable of using the G-Max Move G-Max Vine Lash;Venusaur;2
Concept art of Charmander;Charmander;3
Charmander is a small, bipedal, dinosaur-like Pokémon;Charmander;3
Most of its body is colored orange, while its underbelly is a pale light-yellow color;Charmander;3
It has four small fingers on each hand and three claws on each foot;Charmander;3
Charmander, like its evolved forms, has a flame that constantly burns on the end of its tail;Charmander;3
However, If the flame on Charmander's tail goes out, Charmander's life will come to an end;Charmander;3
The power of Charmander's flame attacks can be gauged by the size of the flame on its tail;Charmander;3
Charmander is easily the most mild-mannered and well-behaved of its evolution line;Charmander;3
Its feelings and emotions can be read by the flame on the tip of its tail;Charmander;3
It flares up in a fury when Charmander is angry;Charmander;3
The flame will flicker and grow small and dim If Charmander is sick or hurt;Charmander;3
If it growls that means it's angry or is about to attack;Charmander;3
Charmander however doesn't do well with impatient people;Charmander;3
It doesn't appreciate being rushed, and most of the time, will not allow it;Charmander;3
It is a sweet Pokémon, but is feisty nonetheless;Charmander;3
Charmander doesn't enjoy accepting favors, because it feels it owes something in return;Charmander;3
It is extremely loyal to its loved ones, and knows a good thing when it sees it;Charmander;3
It will treat those in its life accordingly;Charmander;3
Charmander is rarely found in the wild since it's a First partner Pokémon;Charmander;3
Sometimes they gather in extremely hot areas such as active volcanoes or in craggy mountains and in caves along the coast of the Sevii Islands;Charmander;3
Charmander is a bipedal, reptilian Pokémon with a primarily orange body and blue eyes;Charmander;3
Its underside from the chest down and the soles of its feet are cream-colored;Charmander;3
It has two small fangs visible in its upper jaw and two smaller fangs in its lower jaw;Charmander;3
A fire burns at the tip of this Pokémon's slender tail and has blazed there since Charmander's birth;Charmander;3
The flame can be used as an indication of Charmander's health and mood, burning brightly when the Pokémon is strong, weakly when it is exhausted, wavering when it is happy, and blazing when it is enraged;Charmander;3
It is said that Charmander dies if its flame goes out;Charmander;3
However, if the Pokémon is healthy, the flame will continue to burn even if it gets a bit wet and is said to steam in the rain;Charmander;3
Charmander can be found in hot, mountainous areas;Charmander;3
However, it is found far more often in the ownership of Trainers;Charmander;3
As shown in Pokémon Snap, Charmander exhibits pack behavior, calling others of its species if it finds food;Charmander;3
Charmeleon is a small, bipedal, dinosaur-like Pokémon with an appearance similar to that of its pre-evolved form, Charmander;Charmeleon;4
Charmeleon differs from Charmander in that it has a much darker red skin color, a larger body structure, claws, and a horn-like protrusion on the back of its head, similar to that of an ornithopod's;Charmeleon;4
Its claws are razor sharp and its tail is very strong;Charmeleon;4
Charmeleon, like its other evolutionary forms, can naturally breathe fire;Charmeleon;4
Its powers, though, are much greater than Charmander's, but not as great as Charizard's;Charmeleon;4
Charmeleon is also much more aggressive than Charmander;Charmeleon;4
It is believed to have a vicious nature and will constantly seek out opponents;Charmeleon;4
Strong opponents excite this Pokémon, causing it to spout bluish-white flames that torch its surroundings;Charmeleon;4
It is a very ruthless, pitiless and zealous fighter often using its claws;Charmeleon;4
However, it will relax once it has won;Charmeleon;4
In their fervor, their tails often begin to burn a bluish-white at night, they can light up mountainsides like stars if groups of them are present;Charmeleon;4
Enraged Charmeleon often take out their anger on their surroundings, incinerating anything flammable around them with unrestrained Flamethrowers;Charmeleon;4
This stage is often likened to a human’s teenage years--moody and reckless;Charmeleon;4
For starting trainers, reining in disobedient Charmeleon can be extremely challenging, as well as potentially dangerous if not handled well;Charmeleon;4
However, with proper care and treatment, a trainer can earn a Charmeleon’s respect, and eventually its obedience as well;Charmeleon;4
Charmeleon, along with Charmander and Charizard, can be found in hot, rocky mountainous areas;Charmeleon;4
Charmeleon evolves from Charmander at level 16, and evolves into Charizard in level 36;Charmeleon;4
Charmeleon is a bipedal, reptilian Pokémon;Charmeleon;4
It has dark red scales and a cream underside from the chest down;Charmeleon;4
It has blue eyes and a long snout with a slightly hooked tip;Charmeleon;4
On the back of its head is a single horn-like protrusion;Charmeleon;4
It has relatively long arms with three sharp claws;Charmeleon;4
Its short legs have plantigrade feet with three claws and cream-colored soles;Charmeleon;4
The tip of its long, powerful tail has a flame burning on it;Charmeleon;4
The temperature rises to unbearable levels if Charmeleon swings its tail;Charmeleon;4
Charmeleon has a vicious nature and will constantly seek out opponents;Charmeleon;4
Strong opponents excite this Pokémon, causing it to spout bluish-white flames that torch its surroundings;Charmeleon;4
However, it will relax once it has won a battle;Charmeleon;4
It is rare in the wild, but it can be found in mountainous areas;Charmeleon;4
Concept art of Charizard for Pokémon: Twilight Wings;Charizard;5
Charizard is a large, dragon-like Pokémon that differs greatly from its pre-evolved form;Charizard;5
The red skin coloration of Charmeleon is no longer apparent, as Charizard appears to have reverted to the orange/yellow coloration of Charmander;Charizard;5
Two large fangs can be seen when its mouth is closed;Charizard;5
When its mouth is open, its lower fangs and a slender but long tongue can be seen;Charizard;5
The single horn that was on the back of its head is now two, one on either side;Charizard;5
The most notable difference between Charizard and its pre-evolved forms are the large wings that have developed on its back, which gives Charizard the capability of flying;Charizard;5
In Generation II, Shiny Charizard was purple with the inside of its wings being green;Charizard;5
In Generation III onwards, Shiny Charizard's orange skin is black while the blue of its wings is maroon;Charizard;5
Concept art of Mega Charizard X and Mega Charizard Y;Charizard;5
Charizard's Mega Evolution form using Charizardite X is different from Charizard, as it now has a black body color and blue flames from its mouth and on its tail;Charizard;5
While using Charizardite Y, Mega Charizard has a big horn on the top of its head and larger wings;Charizard;5
As Gigantamax Charizard, it becomes larger and physically fit;Charizard;5
The lower part of its body glows white with several yellow diamonds located on lower belly;Charizard;5
There are also diamonds spots located on the front legs;Charizard;5
The claws located on hand and feet become longer and sharp;Charizard;5
The feet become longer and digitigrade, retaining small glowing soles under the forefeet;Charizard;5
The wings are transformed into literal flame wings extending to the shoulder blade and two flames located on the horns;Charizard;5
The sclera of the eyes becomes yellow, the glow of a flame can be seen in the mouth and the teeth grow, with the lower front teeth and three teeth in the middle now protruding when the mouth is closed;Charizard;5
The flame on the tail extends out and has three red clouds surrounding it;Charizard;5
Gigantamax Charizard's flames increase whenever it roars;Charizard;5
The wings are capable of being hotter than magma which Charizard uses to burn its opponents;Charizard;5
As Shiny Charizard Mega Evolves into Mega Charizard X, its body becomes black and its wings become blue;Charizard;5
For Mega Charizard Y, its body stays orange, while it's wings appear tattered and ripped;Charizard;5
The fire on Charizard's tail will change to a bluish-white color if it is furious;Charizard;5
Given its dragon-like appearance, it is logical that Charizard is capable of learning many Dragon-type moves, such as Dragon Breath, Dragon Pulse, etc;Charizard;5
However, it becomes a true Dragon-type as Mega Charizard X;Charizard;5
Charizard are noble and will not turn the full power of their flame on opponents significantly weaker than they are;Charizard;5
Charizards are also known to be very eager to battle;Charizard;5
Charizard seeks out stronger foes and only breathes fire during battles with worthy opponents;Charizard;5
The fiery breath is so hot that it can turn any material to slag;Charizard;5
They can be very dangerous and aggressive if provoked;Charizard;5
But like Charmander and Charmeleon, it is friendly and affectionate with its Trainer;Charizard;5
Charizard only ignores its Trainer if it feels it's Trainer does not care about it;Charizard;5
Only a weak Charizard shows off its power, as said by Liza in Charizard's Burning Ambitions;Charizard;5
Charizard evolves from Charmeleon starting at level 36;Charizard;5
It is the final form of Charmander;Charizard;5
Mega Charizard X and Mega Charizard Y;Charizard;5
Charizard is a draconic, bipedal Pokémon;Charizard;5
It is primarily orange with a cream underside from the chest to the tip of its tail;Charizard;5
It has a long neck, small blue eyes, slightly raised nostrils, and two horn-like structures protruding from the back of its rectangular head;Charizard;5
There are two fangs visible in its upper jaw when its mouth is closed;Charizard;5
Two large wings with blue-green undersides sprout from its back, and a horn-like appendage juts out from the top of the third joint of each wing;Charizard;5
A single wing-finger is visible through the center of each wing membrane;Charizard;5
Charizard's arms are short and skinny compared to its robust belly, and each limb has three white claws;Charizard;5
It has stocky legs with cream-colored soles on each of its plantigrade feet;Charizard;5
The tip of its long, tapering tail burns with a sizable flame;Charizard;5
Charizard flies in search of powerful opponents to battle, and its fire will burn hotter as it gains experience;Charizard;5
Its fiery breath is capable of melting boulders, massive glaciers, and has been known to accidentally cause forest fires;Charizard;5
Though its fiery breath is hot, it never turns it on any opponent weaker than itself;Charizard;5
Charizard typically inhabits mountains and valleys, such as the Charicific Valley in Johto;Charizard;5
The anime has shown that only a weak Charizard would show off its power;Charizard;5
It also showed that Charizard can swim underwater, with Pokémon Origins further showing that the flame on the tip of the tail can still keep burning underwater;Charizard;5
The wings of Charizard can carry it to an altitude of 4,600 feet (1,400 meters);Charizard;5
Charizard has two Mega Forms;Charizard;5
Both feature a shorter snout, white, vertical slit pupils, and a bright underside reaching the lower jaw;Charizard;5
As Mega Charizard X, its body and legs are more physically fit, though its arms remain thin;Charizard;5
Its skin turns black with a sky-blue underside and soles;Charizard;5
Two spikes with blue tips curve upward from the front and back of each shoulder, while the tips of its horns sharpen, turn blue, and curve slightly upward;Charizard;5
Its brow and claws are larger, and its eyes are now red;Charizard;5
It has two small, fin-like spikes under each horn and two more down its lower neck;Charizard;5
The finger disappears from the wing membrane, and the lower edges are divided into large, rounded points;Charizard;5
The third joint of each wing-arm is adorned with a claw-like spike;Charizard;5
Mega Charizard X breathes blue flames out the sides of its mouth, and the flame on its tail now burns blue;Charizard;5
It is said that its new power turns it black and creates more intense flames;Charizard;5
As Mega Charizard Y, it becomes sleeker in appearance but retains its normal coloration;Charizard;5
It has three pointed horns on the back of its head, the middle of which is longer;Charizard;5
Its snout has larger fangs and a ridge on the nose;Charizard;5
Its neck is shorter, but its torso is thinner and longer;Charizard;5
It features longer digitigrade feet;Charizard;5
Its hands are less developed, with extremely shortened fingers that are no longer separated from each other;Charizard;5
Small wings develop on its wrists, while the ones on its back become larger, lose the wing finger passing through their membrane and end up with ragged edges;Charizard;5
The back of its tail has a large spike at the base and three smaller ones near the tip, which now burns with a longer flame;Charizard;5
Mega Charizard Y is said to have incredible flying prowess that is greater than a jet fighter;Charizard;5
As Gigantamax Charizard, it becomes larger and physically fit;Charizard;5
The lower part of its body glows white with several yellow diamonds located on the lower belly;Charizard;5
There are also diamond-shaped spots located on the front legs;Charizard;5
The claws located on its hand and feet become longer and sharper;Charizard;5
The feet become longer and digitigrade, retaining small glowing soles under the forefeet;Charizard;5
The wings are transformed into literal flame wings extending to the shoulder blade and two flames sprout from the horns;Charizard;5
The colossal flamed wings were created from the energy of Gigantamaxing;Charizard;5
The sclera of the eyes becomes yellow;Charizard;5
The glow of a flame can be seen in the mouth, and the teeth grow, with the lower front teeth and three teeth in the middle now protruding when the mouth is closed;Charizard;5
The flame on the tail extends out and has three red clouds surrounding it, like the clouds most other Gigantamax Pokémon have;Charizard;5
The flames within Gigantamax Charizard burns hotter than 3,600 degrees Fahrenheit (2,000 degrees Celsius);Charizard;5
When it roars, the temperature can climb to even higher lengths;Charizard;5
The wings are capable of being hotter than magma which Charizard uses to burn its opponents;Charizard;5
Gigantamax Charizard is the only known Pokémon capable of using the G-Max Move G-Max Wildfire;Charizard;5
Squirtle is a small, light-blue Pokémon with an appearance similar to a turtle;Squirtle;6
With its aerodynamic shape and grooved surface, Squirtle's shell helps it wade through the water very quickly;Squirtle;6
It also offers protection in battle;Squirtle;6
Like turtles, Squirtle has a shell that covers its body with holes that allow its limbs, tail, and head to be exposed;Squirtle;6
Unlike a turtle, Squirtle is ordinarily bipedal;Squirtle;6
Its shell is highly sturdy, so it can hide within its shell to protect itself from physical attacks;Squirtle;6
Squirtle is usually well behaved, yet it has an underlying rebellious streak;Squirtle;6
It likes to be open with only a limited number of people and won't advertise its secrets;Squirtle;6
It prefers to stay within a close knit group, but can still enjoy making new friends;Squirtle;6
Other Pokémon may regard it as difficult and hard to get along with, but only if they have previously gotten on its bad side;Squirtle;6
Squirtle is a small reptilian Pokémon that resembles a light-blue turtle;Squirtle;6
While it typically walks on its two short legs, it has been shown to run on all fours in Super Smash Bros;Squirtle;6
Brawl;Squirtle;6
It has large, purplish or reddish eyes and a slightly hooked upper lip;Squirtle;6
Each of its hands and feet have three pointed digits;Squirtle;6
The end of its long tail curls inward;Squirtle;6
Its body is encased by a tough shell that forms and hardens after birth;Squirtle;6
This shell is brown on the top, pale yellow on the bottom, and has a thick white ridge between the two halves;Squirtle;6
Squirtle's shell is a useful tool;Squirtle;6
It can withdraw into the shell for protection or to sleep;Squirtle;6
The grooved, rounded shape helps to reduce water resistance, allowing the Pokémon to swim at high speeds;Squirtle;6
Squirtle can spray foamy water from its mouth with great accuracy;Squirtle;6
Squirtle is scarce in the wild, although it can be found around small ponds and lakes;Squirtle;6
The anime has shown that it can be found living on secluded islands with other members of its evolutionary line;Squirtle;6
Sharpedo is a natural predator of Squirtle;Squirtle;6
In Generation II, Skull Bash was its signature move;Squirtle;6
Wartortle is a small, bipedal, turtle-like Pokémon with a similar appearance to that of its pre-evolved form, Squirtle;Wartortle;7
Some differences are that Wartortle have developed sharper and larger claws and teeth, and that their tails are larger and fluffier than those of Squirtle's;Wartortle;7
The fur on Wartortle's tail darkens with age;Wartortle;7
Wartortle have developed large furry ears;Wartortle;7
Like its pre-evolved form, it can also use its shell to protect itself;Wartortle;7
Its shell bears the scratches of many battles;Wartortle;7
They use water to cloak themselves before attacking prey and swiftly swimming after them, using their ears and tails to balance themselves;Wartortle;7
Wartortle pride themselves on scratched shells, as they show toughness in battle;Wartortle;7
Generally, it is believed that the more scratches a Wartortle gains during this stage, the stronger it will be after evolution;Wartortle;7
Wartortle is naturally able to shoot water from its mouth at a greater force than its pre-evolved form Squirtle;Wartortle;7
Wartortle evolves from Squirtle starting at level 16, and evolves into Blastoise starting at level 36;Wartortle;7
Wartortle is a bipedal, indigo reptilian Pokémon similar to a turtle;Wartortle;7
It has brown eyes, a dark blue streak on each cheek, and two sharp teeth protruding from its upper jaw;Wartortle;7
It has three clawed fingers and pointed toes;Wartortle;7
On each side of its head are feather-like ears covered in pale blue fur;Wartortle;7
A brown shell with a pale yellow underside encases its body;Wartortle;7
A thick, white rim separates the upper and lower halves of the shell;Wartortle;7
An older Wartortle may have scars and algae growing on its shell;Wartortle;7
Poking out of the bottom of the shell is a thick, wavy tail that also has light blue fur and cannot be fully withdrawn into its shell;Wartortle;7
Its tail fur will darken with age;Wartortle;7
Its tail is a popular symbol of longevity and good luck, making this Pokémon popular with the elderly;Wartortle;7
Because they are larger than Squirtle and have a larger shell, Wartortle have a more difficult time walking on land and keeping their balance in the water;Wartortle;7
To maintain balance while swimming at high speeds, Wartortle moves its furry ears and tail as both rudders and balancing rods;Wartortle;7
Air can be stored in its fur for extended underwater diving;Wartortle;7
It hides in water when hunting and emerges to surprise its prey;Wartortle;7
The anime has shown that Wartortle can be found living in colonies on islands, but its preferred habitat seems to be freshwater ponds and lakes;Wartortle;7
In Generation II, Skull Bash was its signature move;Wartortle;7
Blastoise are large, tortoise-like Pokémon with some features similar to those of its pre-evolved forms;Blastoise;8
Blastoise has a large blue body, cream-colored stomach, small fat arms and legs, and a large brown shell rimmed with white, featuring its water cannons;Blastoise;8
It is now noticeably bulkier than its previous evolutions;Blastoise;8
Like its pre-evolved forms, Blastoise has a shell which covers its entire body, which it can also be withdrawn into;Blastoise;8
Contrary to Squirtle and Wartortle, Blastoise has large, water cannons that are located on the top left and right sides;Blastoise;8
The water that comes out of the cannons is capable of punching holes through thick steel;Blastoise;8
Blastoise can take the role of a leader in large groups of Squirtle and Wartortle;Blastoise;8
Its preferred habitat seems to be freshwater ponds and lakes;Blastoise;8
Blastoise are watchful Pokémon;Blastoise;8
They dislike humans in their territory, but will not attack unless provoked;Blastoise;8
They tend to fight when they sense danger;Blastoise;8
Blastoise, like Wartortle and Squirtle, can naturally shoot water, though not from its mouth, but from its large cannons;Blastoise;8
These cannons allow water to be shot at much greater force, which leaves them the backing force of all water attacks;Blastoise;8
From the spouts on its shell, Blastoise can fire water bullets with amazing accuracy, able to hit a target more than one hundred and sixty feet away;Blastoise;8
Blastoise's shell has grown to match its body, and it boasts new extra-large water cannons as well;Blastoise;8
Gigantamax Blastoise can adapt to different situations by using different combinations of its 31 variously sized cannons;Blastoise;8
In battle, it doesn't bother to aim;Blastoise;8
Instead, it fires dynamic, powerful torrents from multiple cannons to overwhelm opponents;Blastoise;8
The main cannon on the center of Blastoise's shell is staggeringly powerful;Blastoise;8
Legend says this cannon has blasted holes into mountains;Blastoise;8
Gigantamax Blastoise can also move the 12 large cannons surrounding its central cannon independently, letting it orient its attacks in any direction, whether toward the ground or the sky;Blastoise;8
Blastoise evolves from Wartortle starting at level 36;Blastoise;8
Blastoise can further evolve into Mega Blastoise using the Blastoisinite;Blastoise;8
Blastoise is a large, bipedal turtle Pokémon;Blastoise;8
Its body is blue and is mostly hidden by its tough, brown shell;Blastoise;8
This shell has a cream-colored underside and a white ridge encircling its arms and separating the upper and lower halves;Blastoise;8
Two powerful water cannons reside at the top of its shell over its shoulders;Blastoise;8
These cannons can be extended or withdrawn;Blastoise;8
Blastoise's head has triangular ears that are black on the inside, small brown eyes, and a cream-colored lower jaw;Blastoise;8
Its arms are thick, and it has three claws on each hand;Blastoise;8
Its feet have three claws on the front and one on the back;Blastoise;8
Poking out of the bottom of its shell is a stubby tail;Blastoise;8
The powerful cannons on this Pokémon's back are capable of producing water blasts that can pierce steel and concrete and can be used for high-speed charges;Blastoise;8
Blastoise deliberately makes itself heavy to withstand these powerful blasts and to crush its opponents;Blastoise;8
In Generation II, Skull Bash was its signature move;Blastoise;8
The anime has shown that Blastoise can take the role of a leader in large groups of Squirtle and Wartortle;Blastoise;8
Its preferred habitat seems to be freshwater ponds and lakes;Blastoise;8
As Mega Blastoise, it develops two smaller shells over its arms, each with their own water cannon;Blastoise;8
The two cannons on its back are replaced by a single, central water cannon of greater size that can retract into its shell;Blastoise;8
This cannon extends forward over Mega Blastoise's head and is said to have a blast range of over 6 miles (10 kilometers);Blastoise;8
1 Small ridges develop over its now-red eyes and extend to its ears;Blastoise;8
The ears angle slightly backward and there is a small point on its chin;Blastoise;8
As Gigantamax Blastoise, it becomes larger;Blastoise;8
Its eyes are white with bright blue sclerae;Blastoise;8
Its blue arms, head and legs change to light blue, and the underside of its shell becomes dark red;Blastoise;8
Its shell transforms into a battleship-like formation, with 31 cannons of different sizes: sets of twin cannons emerge from hexagon and rectangle-shaped holes within the shell, and a main cannon protrudes from the center;Blastoise;8
Several white triangular spots are located on its tail and legs;Blastoise;8
Three red clouds surround the main cannon;Blastoise;8
Gigantamax Blastoise can adapt to any situation using various cannon combinations;Blastoise;8
It is not very good at precision shooting, so instead of aiming its attacks, it prefers to overwhelm its opponent by launching dynamic, powerful torrents from its cannons;Blastoise;8
According to one legend, its main cannon is so staggeringly powerful it can blast holes through the mountains;Blastoise;8
